,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire ,Current Status Date,Status,Region
229,Sherman,3S22,Male,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-06-14,Puppy Raising,North Carolina Puppy Raising Region
230,Suzanne,4S22,Female,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-06-08,Puppy Raising,Cleveland East Puppy Raising Region
231,Stitch,5S22,Male,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-06-08,Puppy Raising,Leatherstocking NY Puppy Raising Region
232,Renegade,2R22,Female,GS,B&T,2022-03-21,Xena - 2X20 - GSB&TF,Hobie - 1HH20 - GSB&TM,2022-05-18,Puppy Raising,Central NY Puppy Raising Region
234,Rookie,3R22,Male,GS,B,2022-03-21,Xena - 2X20 - GSB&TF,Hobie - 1HH20 - GSB&TM,2022-05-16,Puppy Raising,Dutchess NY Puppy Raising Region
235,Rogue,4R22,Female,GS,B&T,2022-03-21,Xena - 2X20 - GSB&TF,Hobie - 1HH20 - GSB&TM,2022-05-18,Puppy Raising,Southern Tier NY Puppy Raising Region
238,Carmen,7Q22,Female,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-18,Puppy Raising,Columbus Puppy Raising Region
239,Quattro,9Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-18,Puppy Raising,Wayne County Puppy Raising Region
240,Quill,5Q22,Female,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-14,Puppy Raising,North Carolina Puppy Raising Region
241,Quidditch,8Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-06,Puppy Raising,Bay Puppy Raising Region
242,Queso,10Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-08,Puppy Raising,Leatherstocking NY Puppy Raising Region
244,Quantum,2Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-08,Puppy Raising,Fingerlakes Puppy Raising Region
246,Phoenix,3P22,Female,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-18,Puppy Raising,Southern Tier NY Puppy Raising Region
248,Gait,2P22,Female,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-14,Puppy Raising,Dominion Puppy Raising Region
250,Pax,5P22,Male,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-18,Puppy Raising,Erie NY Puppy Raising Region
251,Oak,2O22,Male,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-05-18,Puppy Raising,Fingerlakes Puppy Raising Region
253,Opus,4O22,Male,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-06-08,Puppy Raising,Fingerlakes Puppy Raising Region
255,O'Hara,5O22,Female,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-06-12,Puppy Raising,Montgomery Puppy Raising Region
256,Ophelia,1O22,Female,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-05-21,Puppy Raising,Southwestern VT Puppy Raising Region
257,Newton,8N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-06-21,Puppy Raising,Southern CT Puppy Raising region
258,Nomad,9N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-14,Puppy Raising,Dominion Puppy Raising Region
259,Nashville,10N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-14,Puppy Raising,Cleveland West Puppy Raising Region
260,Richie,1N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-06-08,Puppy Raising,Columbus Puppy Raising Region
262,Nigel,3N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-06-06,Puppy Raising,Eastern MA Puppy Raising Region
265,Russell,6N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-14,Puppy Raising,Richmond Puppy Raising Region
266,Navy,7N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-06-08,Puppy Raising,Cleveland East Puppy Raising Region
268,Matthew,4M22,Male,LR,B,2022-02-27,Cora - 4C19 - LRBF,Gomer - 4G319 - LRYM,2022-05-01,Puppy Raising,Columbus Puppy Raising Region
269,Max,2M22,Female,LR,B,2022-02-27,Cora - 4C19 - LRBF,Gomer - 4G319 - LRYM,2022-05-16,Puppy Raising,Fingerlakes Puppy Raising Region
273,Lumos,5L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-14,Puppy Raising,Richmond Puppy Raising Region
274,Licorice,7L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-16,Puppy Raising,Maine Puppy Raising Region
275,Lucille,8L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-06-14,Puppy Raising,North Carolina Puppy Raising Region
277,Lazz,10L22,Male,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-14,Puppy Raising,Richmond Puppy Raising Region
279,Livy,1L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-14,Puppy Raising,Richmond Puppy Raising Region
280,Lupin,2L22,Male,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-08,Puppy Raising,Capital NY Puppy Raising Region
281,Kirk,10K22,Male,LR,B,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-05-14,Puppy Raising,Bay Puppy Raising Region
282,Kismet,6K22,Female,LR,B,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-24,Puppy Raising,Dominion Puppy Raising Region
285,Kendall,1K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-23,Puppy Raising,Adirondack Puppy Raising Region
287,Klondike,3K22,Male,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-23,Puppy Raising,Central NY Puppy Raising Region
289,Kay,5K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-23,Puppy Raising,Delmarva Puppy Raising Region
290,Jimi,1J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-08,Puppy Raising,Capital NY Puppy Raising Region
292,Jeremy,3J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-14,Puppy Raising,Bay Puppy Raising Region
293,Jeanette,4J22,Female,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-18,Puppy Raising,Southern Tier NY Puppy Raising Region
295,Jada,5J22,Female,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-10,Puppy Raising,Leatherstocking NY Puppy Raising Region
296,Jamie,6J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-18,Puppy Raising,Fingerlakes Puppy Raising Region
297,Jeeper,8J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-04,Puppy Raising,Eastern MA Puppy Raising Region
301,Irby,4I22,Male,LR,Y,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-06-04,Puppy Raising,Dutchess NY Puppy Raising Region
303,Isla,7I22,Female,LR,Y,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-10,Puppy Raising,Columbus Puppy Raising Region
304,Inez,8I22,Female,LR,B,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-30,Puppy Raising,Dutchess NY Puppy Raising Region
307,Harley,3H22,Female,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-17,Puppy Raising,SWCT Puppy Raising Region
309,Haiku,4H22,Female,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-10,Puppy Raising,Erie NY Puppy Raising Region
310,Hope,6H22,Female,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-12,Puppy Raising,Capital NY Puppy Raising Region
311,Hugo,7H22,Male,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-05-17,Puppy Raising,Eastern MA Puppy Raising Region
312,Hoover,8H22,Male,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-05-05,Puppy Raising,Eastern CT Puppy Raising Region
313,Giada,3G22,Female,LR,B,2022-02-06,Eloise - 5E319 - LRBF,Odin - 5OO19 - LRBM,2022-05-18,Puppy Raising,Monroe NY Puppy Raising Region
314,Gage,4G22,Male,LR,B,2022-02-06,Eloise - 5E319 - LRBF,Odin - 5OO19 - LRBM,2022-05-14,Puppy Raising,Cleveland West Puppy Raising Region
315,Greta,2G22,Female,LR,B,2022-02-06,Eloise - 5E319 - LRBF,Odin - 5OO19 - LRBM,2022-04-07,Puppy Raising,Dutchess NY Puppy Raising Region
316,Georgette,5G22,Female,LR,B,2022-02-06,Eloise - 5E319 - LRBF,Odin - 5OO19 - LRBM,2022-04-28,Puppy Raising,Montgomery Puppy Raising Region
319,Dottie,2D22,Female,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-03-16,Puppy Raising,Cattaraugus Puppy Raising Region
322,Dewey,4D22,Male,LR,Y,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-19,Puppy Raising,Prince William Puppy Raising Region
324,Dooley,5D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-23,Puppy Raising,Cleveland East Puppy Raising Region
326,Eddie,4E+22,Male,LR,B,2022-01-16,Orly - 7O14 - LRBF,Elrod - 6E319 - LRBM,2022-04-22,Puppy Raising,Fingerlakes Puppy Raising Region
327,Emil,3E+22,Male,LR,B,2022-01-16,Orly - 7O14 - LRBF,Elrod - 6E319 - LRBM,2022-04-09,Puppy Raising,New Hampshire Puppy Raising Region
332,Brody,5C22,Male,LR,B,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-04-10,Puppy Raising,Capital NY Puppy Raising Region
333,Carly,8C22,Female,LR,Y,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-04-09,Puppy Raising,New Hampshire Puppy Raising Region
334,Blaze,1B22,Female,LR,Y,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-03-20,Puppy Raising,Fingerlakes Puppy Raising Region
335,Blossom,7B22,Female,LR,B,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-04-04,Puppy Raising,Catoctin Puppy Raising Region
337,Barclay,3B22,Male,LR,Y,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-03-05,Puppy Raising,New Hampshire Puppy Raising Region
338,Biscuit,4B22,Female,LR,Y,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-03-11,Puppy Raising,Northern NJ Puppy Raising Region
341,Artie,1A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-04-10,Puppy Raising,Bay Puppy Raising Region
346,Amber,5A22,Female,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-03-20,Puppy Raising,Fingerlakes Puppy Raising Region
347,Archer,6A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-03-22,Puppy Raising,Richmond Puppy Raising Region
349,Walton,1W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-03-12,Puppy Raising,Eastern CT Puppy Raising Region
352,Wegman,4W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-03-31,Puppy Raising,Southern CT Puppy Raising region
353,Wafer,5W321,Female,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-03-13,Puppy Raising,Eastern CT Puppy Raising Region
360,Vero,4V321,Male,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-02-19,Puppy Raising,Baltimore Puppy Raising Region
361,Vasha,5V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-14,Puppy Raising,Central CT Puppy Raising Region
362,Valise,6V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-14,Puppy Raising,Maine Puppy Raising Region
363,Vale,7V321,Male,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-22,Puppy Raising,North Carolina Puppy Raising Region
364,Vern,8V321,Male,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-22,Puppy Raising,Rhode Island Puppy Raising Region
368,Tinsel,4T321,Female,LR,B,2021-12-19,Zayna - 5Z319 - LRYF,Opa - S - 5O319 - LRBM,2022-03-07,Puppy Raising,Westchester County Puppy Raising Region
369,Tim,2T321,Male,LR,B,2021-12-19,Zayna - 5Z319 - LRYF,Opa - S - 5O319 - LRBM,2022-03-13,Puppy Raising,Catoctin Puppy Raising Region
370,Token,3T321,Male,LR,Y,2021-12-19,Zayna - 5Z319 - LRYF,Opa - S - 5O319 - LRBM,2022-03-05,Puppy Raising,Westchester County Puppy Raising Region
372,Sophie,8S321,Female,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-02-09,Puppy Raising,Maine Puppy Raising Region
373,Seager,6S321,Male,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-03-10,Puppy Raising,Cleveland West Puppy Raising Region
375,Scarlett,2S321,Female,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-03-11,Puppy Raising,Westchester County Puppy Raising Region
377,Sawyer,4S321,Male,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-03-12,Puppy Raising,North Carolina Puppy Raising Region
378,Ruth,1R321,Female,LR,Y,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-02-17,Puppy Raising,Eastern CT Puppy Raising Region
381,Riley,4R321,Female,LR,Y,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-02-13,Puppy Raising,Eastern MA Puppy Raising Region
383,Rory,6R321,Female,LR,B,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-03-05,Puppy Raising,Maine Puppy Raising Region
384,Rumor,7R321,Female,LR,B,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-03-02,Puppy Raising,Capital NY Puppy Raising Region
385,Quella,4Q321,Female,LR,B,2021-12-07,Cammie - 3C418 - LRBF,Finn - 7F315 - LRYM,2022-02-23,Puppy Raising,Westchester County Puppy Raising Region
386,Quince,5Q321,Male,LR,B,2021-12-07,Cammie - 3C418 - LRBF,Finn - 7F315 - LRYM,2022-02-08,Puppy Raising,Delmarva Puppy Raising Region
387,Patience,1P321,Female,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-13,Puppy Raising,Cleveland East Puppy Raising Region
389,Penelope,3P321,Female,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-02,Puppy Raising,Southwestern VT Puppy Raising Region
390,Pete,4P321,Male,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-08,Puppy Raising,Bay Puppy Raising Region
392,Pierre,5P321,Male,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-08,Puppy Raising,Prince William Puppy Raising Region
393,Queenie,2Q321,Female,LR,B,2021-12-07,Cammie - 3C418 - LRBF,Finn - 7F315 - LRYM,2022-02-08,Puppy Raising,Bay Puppy Raising Region
395,Orissa,2O321,Female,LR,B,2021-12-04,Zelda - 1Z319 - LRBF,Baron - 4B20 - LRBM,2022-01-27,Puppy Raising,Southwestern VT Puppy Raising Region
397,Nemo,4N321,Male,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-01-29,Puppy Raising,Northern NJ Puppy Raising Region
398,Norris,5N321,Male,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-02-13,Puppy Raising,Cleveland East Puppy Raising Region
400,Noodle,1N321,Male,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-01-30,Puppy Raising,Baltimore Puppy Raising Region
401,Nitro,2N321,Male,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-02-09,Puppy Raising,Monroe NY Puppy Raising Region
404,Millie,5M321,Female,LR,Y,2021-11-26,Sally - 5S19 - LRBF,Charlie - 10CC17 - LRYM,2022-02-13,Puppy Raising,Cleveland East Puppy Raising Region
405,Moira,6M321,Female,LR,Y,2021-11-26,Sally - 5S19 - LRBF,Charlie - 10CC17 - LRYM,2022-02-08,Puppy Raising,Delmarva Puppy Raising Region
407,Lash,2L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-01-14,Puppy Raising,New Hampshire Puppy Raising Region
408,Layla,3L321,Female,LR,Y,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-01-15,Puppy Raising,Erie NY Puppy Raising Region
413,Liam,9L321,Male,LR,Y,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-05,Puppy Raising,Leatherstocking NY Puppy Raising Region
416,Kenji,2K321,Male,GS,B&T,2021-11-17,Shea - 5SS18 - GSBF,Eric - 2E19 - GSB&TM,2022-01-15,Puppy Raising,Bay Puppy Raising Region
419,Jenkins,2J321,Male,LR,Y,2021-11-15,Liza - 5L318 - LRBF,Shadow - 1S19 - LRBM,2022-01-14,Puppy Raising,Central NY Puppy Raising Region
420,Justice,4J321,Female,LR,Y,2021-11-15,Liza - 5L318 - LRBF,Shadow - 1S19 - LRBM,2022-01-14,Puppy Raising,Central NY Puppy Raising Region
421,Jose,5J321,Male,LR,B,2021-11-15,Liza - 5L318 - LRBF,Shadow - 1S19 - LRBM,2022-02-24,Puppy Raising,Adirondack Puppy Raising Region
425,Izzie,4I321,Female,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-01-12,Puppy Raising,Southern CT Puppy Raising region
426,Imus,6I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-01-08,Puppy Raising,Leatherstocking NY Puppy Raising Region
427,Idaho,5I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-01-30,Puppy Raising,Catoctin Puppy Raising Region
429,Ira,1I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-01-08,Puppy Raising,Central NY Puppy Raising Region
430,Harvard,8H321,Male,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-03-07,Puppy Raising,Westchester County Puppy Raising Region
432,Hans,3H321,Male,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-01-19,Puppy Raising,Delmarva Puppy Raising Region
435,Havana,6H321,Female,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-01-18,Puppy Raising,Erie NY Puppy Raising Region
436,Sama,3G321,Female,LR,B,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-19,Puppy Raising,Montgomery Puppy Raising Region
438,Gary,6G321,Male,LR,Y,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-19,Puppy Raising,Montgomery Puppy Raising Region
439,Greer,7G321,Female,LR,Y,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-19,Puppy Raising,Bay Puppy Raising Region
440,Gable,8G321,Male,LR,B,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2022-01-15,Puppy Raising,Fingerlakes Puppy Raising Region
441,Grant,5G321,Male,LR,B,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-19,Puppy Raising,Delmarva Puppy Raising Region
444,Fenway,1F321,Male,LR,Y,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2022-01-12,Puppy Raising,Cleveland West Puppy Raising Region
445,Francie,2F321,Female,LR,Y,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2021-12-11,Puppy Raising,Columbus Puppy Raising Region
447,Francesca,4F321,Female,LR,B,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2022-01-15,Puppy Raising,Eastern CT Puppy Raising Region
449,Freddie,7F321,Male,LR,Y,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2022-01-15,Puppy Raising,Monroe NY Puppy Raising Region
452,Deverick,2D321,Male,GS,SABL,2021-10-10,Tawny - 1T318 - GSSABLF,Rugby - 2R319 - GSSABLM,2021-12-09,Puppy Raising,Fingerlakes Puppy Raising Region
453,Dove,3D321,Female,GS,SABL,2021-10-10,Tawny - 1T318 - GSSABLF,Rugby - 2R319 - GSSABLM,2021-12-09,Puppy Raising,Cleveland East Puppy Raising Region
454,Dixie,4D321,Female,GS,B&T,2021-10-10,Tawny - 1T318 - GSSABLF,Rugby - 2R319 - GSSABLM,2021-12-11,Puppy Raising,Cleveland West Puppy Raising Region
456,Egypt,2E321,Female,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-09,Puppy Raising,Southern Tier NY Puppy Raising Region
458,Empire,4E321,Male,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-19,Puppy Raising,Bay Puppy Raising Region
459,Ezzie,6E321,Female,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-14,Puppy Raising,Northern CT Puppy Raising Region
460,Elwood,7E321,Male,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-09,Puppy Raising,Cattaraugus Puppy Raising Region
461,Edwina,8E321,Female,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2022-01-15,Puppy Raising,Erie NY Puppy Raising Region
463,Crystal,2C321,Female,LR,Y,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-30,Puppy Raising,Cleveland East Puppy Raising Region
464,Champ,3C321,Male,LR,Y,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-19,Puppy Raising,Colorado Puppy Raising Region
465,Cadbury,4C321,Male,LR,B,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-14,Puppy Raising,Northern NJ Puppy Raising Region
466,Charlotte,5C321,Female,LR,B,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-14,Puppy Raising,Montgomery Puppy Raising Region
467,Cersei,6C321,Female,LR,Y,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-07,Puppy Raising,Colorado Puppy Raising Region
469,Breeze,1B321,Female,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-09,Puppy Raising,Cleveland West Puppy Raising Region
470,Benny,7B321,Male,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2022-01-09,Puppy Raising,Dominion Puppy Raising Region
473,Bagel,4B321,Female,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-09,Puppy Raising,Cleveland West Puppy Raising Region
474,Barry,5B321,Male,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2022-01-09,Puppy Raising,Dominion Puppy Raising Region
475,Betty,6B321,Female,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-19,Puppy Raising,Montgomery Puppy Raising Region
477,Archie,1A321,Male,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2021-12-14,Puppy Raising,Eastern MA Puppy Raising Region
481,Aura,6A321,Female,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2021-12-08,Puppy Raising,Maine Puppy Raising Region
482,Autumn,5A321,Female,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2022-01-15,Puppy Raising,Fingerlakes Puppy Raising Region
483,Annabelle,7A321,Female,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2021-12-03,Puppy Raising,Richmond Puppy Raising Region
484,Artemis,8A321,Male,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2022-01-14,Puppy Raising,Baltimore Puppy Raising Region
487,Zest,6ZZ21,Male,LR,Y,2021-09-24,Nyla - 2N319 - LRYF,Everett - 1E419 - LRYM,2021-12-06,Puppy Raising,Dutchess NY Puppy Raising Region
488,Ziti,8ZZ21,Female,LR,Y,2021-09-24,Nyla - 2N319 - LRYF,Everett - 1E419 - LRYM,2021-11-23,Puppy Raising,Rhode Island Puppy Raising Region
490,Zephyr,1ZZ21,Female,LR,Y,2021-09-24,Nyla - 2N319 - LRYF,Everett - 1E419 - LRYM,2021-12-03,Puppy Raising,Maine Puppy Raising Region
491,Zeb,2ZZ21,Male,LR,Y,2021-09-24,Nyla - 2N319 - LRYF,Everett - 1E419 - LRYM,2021-11-19,Puppy Raising,Central CT Puppy Raising Region
492,Zach,3ZZ21,Male,LR,Y,2021-09-24,Nyla - 2N319 - LRYF,Everett - 1E419 - LRYM,2021-12-11,Puppy Raising,Columbus Puppy Raising Region
494,Yonder,2YY21,Male,LR,B,2021-09-23,Kyra - 5KK18 - LRBF,Enrico - 7EE19 - LRBM,2021-12-09,Puppy Raising,Monroe NY Puppy Raising Region
