,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire,Current Status Date,Status
236,Donovan,7DD22,Male,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-16,Puppy Raising
238,Dayton,8DD22,Male,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-17,Puppy Raising
239,Cole,1CC22,Male,GS,B&T,2022-05-12,Jazz GDA - 1X20 - GSB&TF,Timber FGDF - TIMBER FGD - GSB&TM *NOP*,2022-07-17,Puppy Raising
241,Bijou,2BB22,Female,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-08-13,Puppy Raising
242,Bernie,3BB22,Male,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-09,Puppy Raising
243,Brandt,4BB22,Male,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-08,Puppy Raising
244,Belgium,11BB22,Female,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-30,Puppy Raising
245,Beacon,10BB22,Male,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-17,Puppy Raising
246,Baxter,5BB22,Male,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-30,Puppy Raising
247,Bankie,8BB22,Male,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-07,Puppy Raising
248,Broadway,9BB22,Female,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-31,Puppy Raising
250,Bryna,6BB22,Female,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-07,Puppy Raising
251,Angus,1AA22,Male,LR,B,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-06-28,Puppy Raising
252,Ambie,2AA22,Female,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-07-17,Puppy Raising
253,Ada,3AA22,Female,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-07-30,Puppy Raising
254,Aladdin,4AA22,Male,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-06-25,Puppy Raising
255,Avril,5AA22,Female,LR,B,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-07-21,Puppy Raising
266,Yeti,1Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-08,Puppy Raising
267,Yolanda,3Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-07-15,Puppy Raising
268,Yaeger,4Y22,Male,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-28,Puppy Raising
269,Yoyo,5Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-09,Puppy Raising
270,Yogi,2Y22,Male,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-09,Puppy Raising
271,Yvonne,6Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-08-03,Puppy Raising
273,Wade,2W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-07-17,Puppy Raising
274,Watson,3W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-07-09,Puppy Raising
276,Watkins,6W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-07-16,Puppy Raising
277,Winette,9W22,Female,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-06-12,Puppy Raising
279,Waffle,1W22,Female,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-07-24,Puppy Raising
281,Verona,2V22,Female,LR,B,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-14,Puppy Raising
282,Vida,3V22,Female,LR,B,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-25,Puppy Raising
283,Vespa,5V22,Female,LR,Y,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-08,Puppy Raising
284,Sean,6V22,Male,LR,B,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-30,Puppy Raising
286,Tux,1T22,Male,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-07-07,Puppy Raising
287,Ten,2T22,Male,LR,Y,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-07-02,Puppy Raising
288,Tootsie,4T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-06-10,Puppy Raising
291,Tahiti,7T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-06-24,Puppy Raising
293,Tank,10T22,Male,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-06-23,Puppy Raising
295,Treasure,11T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-06-12,Puppy Raising
297,Sandra,2S22,Female,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-07-17,Puppy Raising
298,Sonic,6S22,Male,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-06-08,Puppy Raising
299,Sherman,3S22,Male,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-06-14,Puppy Raising
300,Suzanne,4S22,Female,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-06-08,Puppy Raising
301,Stitch,5S22,Male,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-06-08,Puppy Raising
302,Renegade,2R22,Female,GS,B&T,2022-03-21,Xena - 2X20 - GSB&TF,Hobie - 1HH20 - GSB&TM,2022-05-18,Puppy Raising
304,Rookie,3R22,Male,GS,B,2022-03-21,Xena - 2X20 - GSB&TF,Hobie - 1HH20 - GSB&TM,2022-05-16,Puppy Raising
305,Rogue,4R22,Female,GS,B&T,2022-03-21,Xena - 2X20 - GSB&TF,Hobie - 1HH20 - GSB&TM,2022-05-18,Puppy Raising
308,Carmen,7Q22,Female,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-18,Puppy Raising
309,Quattro,9Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-18,Puppy Raising
310,Quill,5Q22,Female,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-14,Puppy Raising
311,Quidditch,8Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-06,Puppy Raising
312,Queso,10Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-08,Puppy Raising
314,Quantum,2Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-08,Puppy Raising
316,Phoenix,3P22,Female,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-18,Puppy Raising
318,Gait,2P22,Female,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-14,Puppy Raising
320,Pax,5P22,Male,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-18,Puppy Raising
321,Oak,2O22,Male,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-05-18,Puppy Raising
323,Opus,4O22,Male,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-06-08,Puppy Raising
325,O'Hara,5O22,Female,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-06-12,Puppy Raising
326,Ophelia,1O22,Female,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-05-21,Puppy Raising
327,Newton,8N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-06-21,Puppy Raising
328,Nomad,9N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-14,Puppy Raising
329,Nashville,10N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-14,Puppy Raising
330,Richie,1N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-06-08,Puppy Raising
332,Nigel,3N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-06-06,Puppy Raising
335,Russell,6N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-14,Puppy Raising
336,Navy,7N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-06-08,Puppy Raising
338,Matthew,4M22,Male,LR,B,2022-02-27,Cora - 4C19 - LRBF,Gomer - 4G319 - LRYM,2022-05-01,Puppy Raising
339,Max,2M22,Female,LR,B,2022-02-27,Cora - 4C19 - LRBF,Gomer - 4G319 - LRYM,2022-05-16,Puppy Raising
343,Lumos,5L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-14,Puppy Raising
344,Licorice,7L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-16,Puppy Raising
345,Lucille,8L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-06-14,Puppy Raising
347,Lazz,10L22,Male,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-14,Puppy Raising
349,Livy,1L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-14,Puppy Raising
350,Lupin,2L22,Male,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-08,Puppy Raising
351,Kirk,10K22,Male,LR,B,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-05-14,Puppy Raising
352,Kismet,6K22,Female,LR,B,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-24,Puppy Raising
355,Kendall,1K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-23,Puppy Raising
357,Klondike,3K22,Male,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-23,Puppy Raising
359,Kay,5K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-23,Puppy Raising
360,Jimi,1J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-08,Puppy Raising
362,Jeremy,3J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-14,Puppy Raising
363,Jeanette,4J22,Female,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-18,Puppy Raising
364,Jada,5J22,Female,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-10,Puppy Raising
365,Jamie,6J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-18,Puppy Raising
366,Jeeper,8J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-05-04,Puppy Raising
370,Irby,4I22,Male,LR,Y,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-06-04,Puppy Raising
372,Isla,7I22,Female,LR,Y,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-10,Puppy Raising
373,Inez,8I22,Female,LR,B,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-30,Puppy Raising
376,Harley,3H22,Female,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-17,Puppy Raising
378,Haiku,4H22,Female,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-10,Puppy Raising
379,Hope,6H22,Female,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-12,Puppy Raising
380,Hugo,7H22,Male,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-05-17,Puppy Raising
381,Hoover,8H22,Male,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-05-05,Puppy Raising
382,Giada,3G22,Female,LR,B,2022-02-06,Eloise - 5E319 - LRBF,Odin - 5OO19 - LRBM,2022-05-18,Puppy Raising
383,Gage,4G22,Male,LR,B,2022-02-06,Eloise - 5E319 - LRBF,Odin - 5OO19 - LRBM,2022-05-14,Puppy Raising
384,Greta,2G22,Female,LR,B,2022-02-06,Eloise - 5E319 - LRBF,Odin - 5OO19 - LRBM,2022-04-07,Puppy Raising
385,Georgette,5G22,Female,LR,B,2022-02-06,Eloise - 5E319 - LRBF,Odin - 5OO19 - LRBM,2022-04-28,Puppy Raising
388,Dottie,2D22,Female,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-03-16,Puppy Raising
391,Dewey,4D22,Male,LR,Y,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-19,Puppy Raising
393,Dooley,5D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-23,Puppy Raising
395,Eddie,4E+22,Male,LR,B,2022-01-16,Orly - 7O14 - LRBF,Elrod - 6E319 - LRBM,2022-04-22,Puppy Raising
396,Emil,3E+22,Male,LR,B,2022-01-16,Orly - 7O14 - LRBF,Elrod - 6E319 - LRBM,2022-04-09,Puppy Raising
404,Brody,5C22,Male,LR,B,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-04-10,Puppy Raising
405,Carly,8C22,Female,LR,Y,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-04-09,Puppy Raising
406,Blaze,1B22,Female,LR,Y,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-03-20,Puppy Raising
407,Blossom,7B22,Female,LR,B,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-04-04,Puppy Raising
409,Barclay,3B22,Male,LR,Y,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-03-05,Puppy Raising
410,Biscuit,4B22,Female,LR,Y,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-03-11,Puppy Raising
413,Artie,1A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-04-10,Puppy Raising
418,Amber,5A22,Female,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-03-20,Puppy Raising
419,Archer,6A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-03-22,Puppy Raising
421,Walton,1W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-03-12,Puppy Raising
424,Wegman,4W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-03-31,Puppy Raising
425,Wafer,5W321,Female,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-03-13,Puppy Raising
432,Vero,4V321,Male,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-02-19,Puppy Raising
433,Vasha,5V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-14,Puppy Raising
434,Valise,6V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-14,Puppy Raising
435,Vale,7V321,Male,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-22,Puppy Raising
436,Vern,8V321,Male,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-22,Puppy Raising
440,Tinsel,4T321,Female,LR,B,2021-12-19,Zayna - 5Z319 - LRYF,Opa - S - 5O319 - LRBM,2022-03-07,Puppy Raising
441,Tim,2T321,Male,LR,B,2021-12-19,Zayna - 5Z319 - LRYF,Opa - S - 5O319 - LRBM,2022-03-13,Puppy Raising
442,Token,3T321,Male,LR,Y,2021-12-19,Zayna - 5Z319 - LRYF,Opa - S - 5O319 - LRBM,2022-03-05,Puppy Raising
444,Sophie,8S321,Female,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-02-09,Puppy Raising
445,Seager,6S321,Male,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-03-10,Puppy Raising
447,Scarlett,2S321,Female,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-03-11,Puppy Raising
449,Sawyer,4S321,Male,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-03-12,Puppy Raising
450,Ruth,1R321,Female,LR,Y,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-02-17,Puppy Raising
453,Riley,4R321,Female,LR,Y,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-02-13,Puppy Raising
455,Rory,6R321,Female,LR,B,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-03-05,Puppy Raising
456,Rumor,7R321,Female,LR,B,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-03-02,Puppy Raising
457,Quella,4Q321,Female,LR,B,2021-12-07,Cammie - 3C418 - LRBF,Finn - 7F315 - LRYM,2022-02-23,Puppy Raising
458,Quince,5Q321,Male,LR,B,2021-12-07,Cammie - 3C418 - LRBF,Finn - 7F315 - LRYM,2022-02-08,Puppy Raising
459,Patience,1P321,Female,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-13,Puppy Raising
461,Penelope,3P321,Female,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-02,Puppy Raising
462,Pete,4P321,Male,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-08,Puppy Raising
464,Pierre,5P321,Male,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-08,Puppy Raising
465,Queenie,2Q321,Female,LR,B,2021-12-07,Cammie - 3C418 - LRBF,Finn - 7F315 - LRYM,2022-02-08,Puppy Raising
467,Orissa,2O321,Female,LR,B,2021-12-04,Zelda - 1Z319 - LRBF,Baron - 4B20 - LRBM,2022-01-27,Puppy Raising
469,Nemo,4N321,Male,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-01-29,Puppy Raising
470,Norris,5N321,Male,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-02-13,Puppy Raising
472,Noodle,1N321,Male,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-01-30,Puppy Raising
473,Nitro,2N321,Male,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-02-09,Puppy Raising
476,Millie,5M321,Female,LR,Y,2021-11-26,Sally - 5S19 - LRBF,Charlie - 10CC17 - LRYM,2022-02-13,Puppy Raising
477,Moira,6M321,Female,LR,Y,2021-11-26,Sally - 5S19 - LRBF,Charlie - 10CC17 - LRYM,2022-02-08,Puppy Raising
479,Lash,2L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-01-14,Puppy Raising
480,Layla,3L321,Female,LR,Y,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-01-15,Puppy Raising
485,Liam,9L321,Male,LR,Y,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-05,Puppy Raising
488,Kenji,2K321,Male,GS,B&T,2021-11-17,Shea - 5SS18 - GSBF,Eric - 2E19 - GSB&TM,2022-01-15,Puppy Raising
491,Jenkins,2J321,Male,LR,Y,2021-11-15,Liza - 5L318 - LRBF,Shadow - 1S19 - LRBM,2022-01-14,Puppy Raising
492,Justice,4J321,Female,LR,Y,2021-11-15,Liza - 5L318 - LRBF,Shadow - 1S19 - LRBM,2022-01-14,Puppy Raising
493,Jose,5J321,Male,LR,B,2021-11-15,Liza - 5L318 - LRBF,Shadow - 1S19 - LRBM,2022-02-24,Puppy Raising
497,Izzie,4I321,Female,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-01-12,Puppy Raising
498,Imus,6I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-01-08,Puppy Raising
499,Idaho,5I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-01-30,Puppy Raising
501,Ira,1I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-01-08,Puppy Raising
502,Harvard,8H321,Male,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-03-07,Puppy Raising
504,Hans,3H321,Male,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-01-19,Puppy Raising
507,Havana,6H321,Female,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-01-18,Puppy Raising
509,Sama,3G321,Female,LR,B,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-19,Puppy Raising
511,Gary,6G321,Male,LR,Y,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-19,Puppy Raising
512,Greer,7G321,Female,LR,Y,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-19,Puppy Raising
513,Gable,8G321,Male,LR,B,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2022-01-15,Puppy Raising
514,Grant,5G321,Male,LR,B,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-19,Puppy Raising
517,Fenway,1F321,Male,LR,Y,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2022-01-12,Puppy Raising
518,Francie,2F321,Female,LR,Y,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2021-12-11,Puppy Raising
520,Francesca,4F321,Female,LR,B,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2022-01-15,Puppy Raising
522,Freddie,7F321,Male,LR,Y,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2022-01-15,Puppy Raising
525,Deverick,2D321,Male,GS,SABL,2021-10-10,Tawny - 1T318 - GSSABLF,Rugby - 2R319 - GSSABLM,2021-12-09,Puppy Raising
526,Dove,3D321,Female,GS,SABL,2021-10-10,Tawny - 1T318 - GSSABLF,Rugby - 2R319 - GSSABLM,2021-12-09,Puppy Raising
527,Dixie,4D321,Female,GS,B&T,2021-10-10,Tawny - 1T318 - GSSABLF,Rugby - 2R319 - GSSABLM,2021-12-11,Puppy Raising
529,Egypt,2E321,Female,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-09,Puppy Raising
531,Empire,4E321,Male,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-19,Puppy Raising
532,Ezzie,6E321,Female,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-14,Puppy Raising
533,Elwood,7E321,Male,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-09,Puppy Raising
534,Edwina,8E321,Female,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2022-01-15,Puppy Raising
536,Crystal,2C321,Female,LR,Y,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-30,Puppy Raising
537,Champ,3C321,Male,LR,Y,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-19,Puppy Raising
538,Cadbury,4C321,Male,LR,B,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-14,Puppy Raising
539,Charlotte,5C321,Female,LR,B,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-14,Puppy Raising
540,Cersei,6C321,Female,LR,Y,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-07,Puppy Raising
542,Breeze,1B321,Female,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-09,Puppy Raising
543,Benny,7B321,Male,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2022-01-09,Puppy Raising
546,Bagel,4B321,Female,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-09,Puppy Raising
547,Barry,5B321,Male,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2022-01-09,Puppy Raising
548,Betty,6B321,Female,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-19,Puppy Raising
550,Archie,1A321,Male,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2021-12-14,Puppy Raising
554,Aura,6A321,Female,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2021-12-08,Puppy Raising
555,Autumn,5A321,Female,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2022-01-15,Puppy Raising
